year,rank,name,familyid,networth,dropoff_reason,dropoff_networth,sample
1982,72,"Marx, Leonard Maximilian",50,300,,,1
1982,73,"Lupton, John Thomas",51,300,,,1
1982,74,"du Pont, Willis Harrington",37,300,,,1
1982,75,"Tisch, Laurence Alan",52,300,,,1
1982,76,"Wirtz, Arthur M",53,300,death,,1
1982,77,"Busch, August Anheuser Jr",54,300,,,1
1982,78,"du Pont, Marion",37,300,death,,1
1982,79,"Tisch, Preston Robert",52,300,,,1
1982,80,"Pearson, Edith du Pont",37,300,,,1
1982,81,"du Pont, Pierre Samuel III",37,300,,,1
1982,82,"Frontiere, Georgia Rosenbloom",55,300,mistake,100,0
1982,83,"Hope, Leslie Townes (Bob)",56,280,,,0
1982,84,"Van Andel, Jay",57,275,,,1
1982,85,"DeVos, Richard Marvin",58,275,,,1
1982,86,"Knight, Philip Hampson",59,275,,,1
1982,87,"Hess, Leon",60,275,,,1
1982,88,"Koch, Charles de Ganahl",61,266,,,1
1982,89,"Koch, William Ingraham",61,266,,,1
1982,90,"Koch, David Hamilton",61,266,,,1
1982,91,"Murchison, Clint William Jr",62,260,,,1
1982,92,"Shakarian, David B",63,250,,,1
1982,93,"Hamon, Jake Louis Jr",64,250,,,1
1982,94,"Fisher, Zachary",65,250,,,1
1982,95,"Buffett, Warren Edward",66,250,,,1
1982,96,"Scharbauer, Clarence Jr",67,250,,,1
1982,97,"Whitney, Betsey Cushing Roosevelt",68,250,,,1
1982,98,"Davis, Thomas Cullen",4,250,,,1
1982,99,"Crown, Lester",69,250,,,1
1982,100,"Rudin, Lewis",70,250,,,1
1982,101,"Fisher, Lawrence",65,250,,,1
1982,102,"Engelhard, Jane B",71,250,,,1
1982,103,"Rudin, Jack",70,250,,,1
1982,104,"Crown, Henry",69,250,,,1
1982,105,"Arison, Ted",72,250,,,1
1982,106,"Allbritton, Joe Lewis",73,250,,,0
1982,107,"Belfer, Arthur Bejer",74,250,,,1
1982,108,"Shorenstein, Walter Herbert",75,250,,,1
1982,109,"Rollins, Orville Wayne",76,250,,,1
1982,110,"Davis, Kenneth William Jr",4,250,,,1
1982,111,"Louis, John Jeffrey Jr",34,240,,,1
1982,112,"Heinz, Henry John II",77,237,,,1
1982,113,"Petrie, Milton Jack",78,225,,,1
1982,114,"Turner, Robert Edward III",79,220,,,1
1982,115,"Nielsen, Arthur Charles Jr",80,216,,,1
1982,116,"Ziff, William Bernard Jr",81,205,,,1
1982,117,"Dorrance, John Thompson Jr",82,200,,,1
1982,118,"Green, Dorothy (Dolly)",83,200,,,1
1982,119,"Hobby, Oveta Culp",84,200,,,1
1982,120,"Hunt, Ruth June",3,200,,,1
1982,121,"Rains, Liliore Green",85,200,,,1
1982,122,"Reynolds, Donald Worthington",86,200,,,1
1982,123,"Keck, Howard Brighton",87,200,,,1
1982,124,"Root, Chapman Shaw",88,200,,,1
1982,125,"Goldman, Sylvan Nathan",89,200,,,1
1982,126,"Cohn, Seymour",90,200,,,1
1982,127,"Smith, Margaret Lewis du Pont",37,200,mistake,,0
1982,128,"Simon, Norton Winfred",91,200,,,1
1982,129,"Palevsky, Max",92,200,,,1
1982,130,"Whitehead, Edwin Carl",93,200,,,1
1982,131,"Grant, Charles B",94,200,other,,1
1982,132,"Hall, Joyce Clyde",95,200,death,,1
1982,133,"du Pont, Edward Bradford",37,200,mistake,,0
1982,134,"Walsh, F Howard",96,200,other,,1
1982,135,"Sharp, Bayard",37,200,,,1
1982,136,"du Pont, Alexis Felix Jr",37,200,,,1
1982,137,"Guccione, Robert Charles",97,200,,,1
1982,138,"Hearst, Randolph Apperson",98,200,,,1
1982,139,"Goldman, Sol",99,200,,,1
1982,140,"Hunt, Swanee",3,200,,,1
1982,141,"Kaskel, Howard",100,200,,,1
1982,142,"Searle, Daniel Crow",101,200,,,1
1982,143,"Bechtel, Stephen Davison Jr",11,200,,,1
1982,144,"Dempsey, John Cornelius",102,200,,,0
1982,145,"Lurie, Robert Alfred",103,200,,,1
1982,146,"Farb, Harold",104,200,,,1
1982,147,"Hearst, David Whitmire Sr",98,200,,,1
1982,148,"Parker, Jack",105,200,,,1
1982,149,"Simon, Melvin",106,200,,,1
1982,150,"Dorrance, John Thompson III",82,200,mistake,,0
1982,151,"Duke, Doris",107,200,,,1
1982,152,"Sharp, Hugh Rodney Jr",37,200,,,1
1982,153,"O'Neill, Abby Milton Rockefeller",6,200,,,1
1982,154,"Benenson, Charles Benjamin",108,200,,,1
1982,155,"Mosbacher, Robert Adam",109,200,,,1
1982,156,"Hall, Donald Joyce",95,200,,,1
1982,157,"Hunt, Ray Lee",3,200,,,1
1982,158,"Pulliam, Eugene Smith",110,200,mistake,,0
1982,159,"Searle, William Louis",101,200,,,1
1982,160,"Mills, Alice Francis du Pont",37,200,,,1
1982,161,"Wang, An",111,200,,,1
1982,162,"Muss, Stephen",112,200,,,1
1982,163,"Posner, Victor",113,200,,,1
1982,164,"Marriott, John Willard Sr",114,200,,,1
1982,165,"Hearst, William Randolph Jr",98,200,,,1
1982,166,"Weinberg, Harry",115,200,,,1
1982,167,"Hendrix, Helen Hunt",3,200,,,1
1982,168,"Smith, Vivian Leatherberry",116,200,,,1
1982,169,"Dixon, Suzanne Searle",101,200,,,1
1982,170,"Bettingen, Burton Green",117,200,,,1
1982,171,"Wallace, Lila Acheson",118,200,,,1
1982,172,"Hunt, Ruth Ray",3,200,,,1
1982,173,"Thorne, Oakleigh Blakeman",119,200,,,1
1982,174,"Hubbard, Stanley E",120,175,,,1
1982,175,"Reed, William Garrard Sr",121,170,,,1
1982,176,"Fasken, David",122,170,death,,1
1982,177,"Johnson, John Seward",123,170,death,,1
1982,178,"McNeil, Henry Stack",124,168,death,,1
1982,179,"Durst, David M",125,166,,,1
1982,180,"Durst, Royal H",125,166,,,1
1982,181,"Durst, Seymour B",125,166,,,1
1982,182,"Olsen, Kenneth Harry",126,157,,,1
1982,183,"Cook, Jane Bancroft",127,155,,,1
1982,184,"Stuart, Dwight Lyman",128,155,,,1
1982,185,"Landegger, Carl Clement",129,150,,,1
1982,186,"Dixon, Fitz Eugene Jr",130,150,,,1
1982,187,"Vose, Charles Alden Jr",131,150,,,0
1982,188,"Avery, Alice O'Neill",132,150,,,1
1982,189,"Vose, Charles Alden Sr",131,150,,,0
1982,190,"Connell, Grover",133,150,,,1
1982,191,"Disney, Roy Edward",134,150,,,1
1982,192,"Sutton, Robert B",135,150,other,,1
1982,193,"Cargill, Margaret Anne",136,150,,,1
1982,194,"Hardesty, Floyd Roger",137,150,,,1
1982,195,"Evans, Thomas Mellon",22,150,,,1
1982,196,"Zuckerman, Mortimer Benjamin",138,150,,,1
1982,197,"Hefner, Robert A III",139,150,other,,1
1982,198,"Moncrief, William Alvin Jr",140,150,,,1
1982,199,"Collier, Miles Carnes",141,150,,,1
1982,200,"Landegger, George Francis",129,150,,,1
1982,201,"Gallo, Ernest",142,150,,,1
1982,202,"Forbes, Malcolm Stevenson",143,150,,,1
1982,203,"Biggs, Electra Waggoner",144,150,other,,1
1982,204,"O'Neill, Richard Jerome",145,150,,,1
1982,205,"Mecom, John W Jr",146,150,other,,1
1982,206,"Hines, Gerald Douglas",147,150,,,1
1982,207,"Adams, Kenneth Stanley (Bud) Jr",148,150,,,1
1982,208,"Galbreath, John Wilmer",149,150,,,1
1982,209,"Cargill, James R",136,150,,,1
1982,210,"Johnson, Belton Kleberg",150,150,,,1
1982,211,"Galbreath, Daniel Mauck",149,150,,,1
1982,212,"Shelton, Robert",151,150,,,1
1982,213,"Moncrief, William Alvin Sr",140,150,,,1
1982,214,"Ono, Yoko",152,150,,,1
1982,215,"Hammer, Armand",153,150,,,1
1982,216,"Wharton, Albert Buckman (Buck) III",154,150,other,,1
1982,217,"Griffin, Ben Hill Jr",155,150,,,1
1982,218,"Hendrix, John",156,150,other,,1
1982,219,"Gallo, Julio R",142,150,,,1
1982,220,"Fisher, Max Martin",157,150,,,1
1982,221,"Stein, Doris Jones",158,150,,,1
1982,222,"Robins, Edwin Claiborne",159,150,,,1
1982,223,"Galvin, Robert William",160,147,,,1
1982,224,"Paley, William S",161,140,,,1
1982,225,"Batten, Frank Sr",162,140,,,1
1982,226,"Kluge, John Werner",163,140,,,1
1982,227,"Vollum, Howard",164,135,,,1
1982,228,"Evans, James Emmett",165,135,,,1
1982,229,"Rosenberg, Henry A Jr",166,133,,,1
1982,230,"Turner, Tom E",167,133,,,1
1982,231,"Kerkorian, Kirk",168,133,,,1
1982,232,"Rosenberg, Ruth Blaustein",166,133,,,1
1982,233,"Blaustein, Morton K",169,133,,,1
1982,234,"Lindner, Carl Henry Jr",170,132,,,1
1982,235,"Cockrell, Ernest H",171,130,other,,1
1982,236,"Pope, Generoso Paul Jr",172,130,,,1
1982,237,"Woodruff, Robert Winship",88,130,,,1
1982,238,"Steinberg, Saul Phillip",173,130,,,0
1982,239,"Park, Roy Hampton",174,130,,,1
1982,240,"Ross, Wilhelmina du Pont",37,130,,,1
1982,241,"Weis, Sigfried",175,130,,,1
1982,242,"Conover, Catherine Mellon",22,130,,,1
1982,243,"Gary, Samuel",176,125,other,,1
1982,244,"Bredin, Octavia Mary du Pont",37,125,,,1
1982,245,"du Pont, William III",37,125,,,1
1982,246,"Lauder, Joseph",177,125,death,,1
1982,247,"du Pont, Irenee Jr",37,125,,,1
1982,248,"Moore, Gordon Earle",178,125,,,1
1982,249,"Bright, Harvey Roberts (Bum)",179,125,other,,1
1982,250,"May, Irene Sophie du Pont",37,125,,,1
1982,251,"Sheehan, Jean Ellen du Pont",37,125,,,1
1982,252,"du Pont, Evelyn Rebecca",37,125,,,1
1982,253,"Brown, William Lee Lyons Jr",180,125,other,,1
1982,254,"Lauder, Estee",177,125,,,1
1982,255,"Greenewalt, Margaretta Lammot du Pont",37,125,,,1
1982,256,"Rust, Eleanor Francis du Pont",37,125,,,1
1982,257,"Howard, Robert Staples",181,125,,,1
1982,258,"Lauder, Ronald Steven",177,125,,,1
1982,259,"Copley, Helen Kinney",182,125,,,1
1982,260,"du Pont, John Eleuthere",37,125,,,1
1982,261,"Darden, Constance Simons du Pont",37,125,,,1
1982,262,"Lauder, Leonard Alan",177,125,,,1
1982,263,"Fetzer, John Earl",183,125,other,100,1
1982,264,"Silliman, Marianna du Pont",37,125,,,1
1982,265,"Flint, Lucile Evelina du Pont",37,125,,,1
1982,266,"Grainger, David William",184,123,,,1
1982,267,"Wang, Lorraine C",111,120,mistake,,0
1982,268,"Payson, Charles Shipman",185,120,,,1
1982,269,"Phipps, Howard Jr",186,120,,,0
1982,270,"Berry, Jack Monteith Sr",187,120,,,1
1982,271,"MacMillan, John Hugh III",136,116,,,1
1982,272,"MacMillan, W Duncan",136,116,,,1
1982,273,"Pictet, Marion MacMillan",136,116,,,1
1982,274,"Wasserman, Lewis Robert",188,115,,,1
1982,275,"Hilton, William Barron",189,115,,,0
1982,276,"Groves, Franklin Nelson",190,115,,,1
1982,277,"Albertson, Joseph Albert",191,115,,,1
1982,278,"Dyson, Charles Henry",192,115,,,1
1982,279,"Jordan, Thomas",193,110,,,1
1982,280,"Rogers, Richard Raymond",194,110,,,1
1982,281,"Smith, Athalie Irvine",195,110,,,1
1982,282,"Paulucci, Luigino Francesco",196,110,,,1
1982,283,"Stark, Ray",197,110,,,1
1982,284,"Parrish, Jesse J Jr",198,110,other,,1
1982,285,"Block, William Sr",199,110,,,1
1982,286,"Block, Paul Jr",199,110,,,1
1982,287,"Taper, Sydney Mark",200,110,,,1
1982,288,"Dalitz, Morris Barney",201,110,other,,1
1982,289,"Briscoe, Dolph Jr",202,105,,,1
1982,290,"Allen, Herbert Sr",203,100,,,1
1982,291,"Jobs, Steven Paul",204,100,,,1
1982,292,"Vesco, Robert Lee",205,100,,,0
1982,293,"McGovern, Patrick Joseph",206,100,,,1
1982,294,"Solow, Sheldon Henry",207,100,,,1
1982,295,"Kalikow, Peter Stephen",208,100,,,1
1982,296,"Field, Marshall V",209,100,,,1
1982,297,"Whittier, N Paul",210,100,mistake,,0
1982,298,"Morgan, Mary Clark Rockefeller",6,100,,,1
1982,299,"Abercrombie, Josephine E",211,100,mistake,,0
1982,300,"Van Beuren, Hope Hill",82,100,,,1
1982,301,"Petersen, Robert Einar",212,100,,,1
1982,302,"Wexner, Leslie Herbert",213,100,,,1
1982,303,"Dillon, Clarence Douglas",214,100,,,1
1982,304,"Lansky, Meyer",215,100,death,,1
1982,305,"Simpson, Abby Rockefeller",6,100,,,1
1982,306,"Massey, Jack C",216,100,other,,1
1982,307,"Allison, Fred M Jr",217,100,other,,1
1982,308,"Zarrow, Henry",218,100,other,,1
1982,309,"Dinner, Richard",219,100,other,,1
1982,310,"Trump, Fred Charles",220,100,,,0
1982,311,"Rockefeller, John Davison IV",6,100,,,1
1982,312,"Mellon, Timothy",22,100,,,1
1982,313,"Resnick, Burton Paul",221,100,other,125,1
1982,314,"Wartels, Nat",222,100,other,100,1
1982,315,"Rockefeller, Steven Clark",6,100,,,1
1982,316,"Singleton, Henry Earl",223,100,,,1
1982,317,"Meyerhoff, Joseph",224,100,other,125,1
1982,318,"Corrigan, Leo F Jr",225,100,,,1
1982,319,"Loeb, John Langeloth",226,100,,,1
1982,320,"Rich, Marc David",227,100,,,1
1982,321,"Brown, George R",228,100,death,,1
1982,322,"Hahn, Ernest Walter",229,100,,,0
1982,323,"Smith, Frederick Wallace",230,100,,,1
1982,324,"Arnow, Robert H",231,100,other,,1
1982,325,"Hudson, Mary",232,100,other,,1
1982,326,"Binger, Virginia McKnight",233,100,,,1
1982,327,"Korein, Sarah",234,100,other,,1
1982,328,"Sharp, Peter Jay",235,100,,,1
1982,329,"De Menil, Dominique",236,100,,,1
1982,330,"Redstone, Sumner Murray",237,100,other,,1
1982,331,"Feinberg, Peter",238,100,other,,1
1982,332,"Rockefeller, Rodman Clark",6,100,,,1
1982,333,"Cooke, Phoebe Hearst",98,100,,,1
1982,334,"Keck, William Myron Jr",87,100,death,,1
1982,335,"Whittier, Leland K",210,100,mistake,,0
1982,336,"Fuqua, John Brooks",239,100,,,1
1982,337,"Gilmore, James Stanley Jr",240,100,other,100,1
1982,338,"Allen, Charles Jr",203,100,,,1
1982,339,"Lucas, George",241,100,mistake,,0
1982,340,"Weis, Robert Freeman",175,100,,,1
1982,341,"Smith, Richard Alan",242,100,,,1
1982,342,"Hamilton, Dorrance (Dodo) Hill",82,100,,,1
1982,343,"Williams, Clayton Wheat Jr",243,100,,,1
1982,344,"Richards, Roy",244,100,other,,1
1982,345,"Trump, Donald John",220,100,,,0
1982,346,"Lunger, Mary Jane du Pont",37,100,,,1
1982,347,"Farish, William Stamps III",245,100,,,1
1982,348,"Milstein, Paul",246,100,,,1
1982,349,"Dayton, Alida Rockefeller",6,100,,,1
1982,350,"Kieckhefer, Robert Hazelwood",247,100,,,1
1982,351,"Swig, Melvyn",248,100,other,,1
1982,352,"Hearst, George Randolph Jr",98,100,,,1
1982,353,"Borg, Malcolm Austin",249,100,,,1
1982,354,"Resnick, Jack",221,100,other,,1
1982,355,"Mendik, Bernard H",250,100,other,,1
1982,356,"Darrin, David M",251,100,death,,1
1982,357,"Woodward, Helen Whittier",210,100,mistake,,0
1982,358,"Boesky, Ivan Frederick",252,100,,,1
1982,359,"Ford, William Clay Sr",253,100,,,1
1982,360,"Thorn, Laura Simpson",6,100,,,1
1982,361,"Kalikow, Harold",208,100,death,,1
1982,362,"Frick, Helen Clay",254,100,,,1
1982,363,"Graham, Katharine",255,100,,,1
1982,364,"Scripps, Edward Wyllis",256,100,,,1
1982,365,"Smith, Kelvin",257,100,other,,1
1982,366,"Cummings, Nathan",258,100,,,1
1982,367,"Huffington, Roy Michael",259,100,other,,0
1982,368,"Davis, William Selden",4,100,,,1
1982,369,"Rockefeller, Hope Aldrich",6,100,,,1
1982,370,"Weiler, Jack D",260,100,other,,1
1982,371,"Swig, Richard",248,100,other,,1
1982,372,"Walls, Carmage",261,100,other,,1
1982,373,"Johnson, John Harold",262,100,,,1
1982,374,"Knight, James Landon",263,100,,,1
1982,375,"Cohen, Sherman",264,100,other,,1
1982,376,"Ferry, Sandra (Rockefeller)",6,100,,,1
1982,377,"Harriman, William Averell",265,100,,,1
1982,378,"Bernhard, Arnold",266,100,,,1
1982,379,"Milstein, Seymour",246,100,,,1
1982,380,"Graham, William A",267,100,other,,1
1982,381,"Silverstein, Larry Abraham",268,100,other,,1
1982,382,"Von Platen, Ruth Chandler",269,100,,,1
1982,383,"Roberts, Ann Clark Rockefeller",6,100,,,1
1982,384,"Allen, Herbert Anthony Jr",203,100,,,1
1982,385,"Wien, Lawrence Arthur",270,100,other,,1
1982,386,"McLendon, Gordon Barton",271,100,,,1
1982,387,"Field, Frederick Woodruff",209,100,,,1
1982,388,"Levitt, William Jaird",272,100,other,,1
1982,389,"Weiler, Alan",260,100,other,,1
1982,390,"Zimmerman, William",273,100,,,1
1982,391,"Stuart, Elbridge Hadley Jr",128,100,,,1
1982,392,"Smith, Rankin McEachern Sr",274,100,other,100,1
1982,393,"Cohen, Edward Baron",264,100,other,,1
1982,394,"MacElree, Jane Cox",29,95,,,0
1982,395,"Cox, William Coburn Jr",29,95,,,1
1982,396,"Frazier, Owsley Brown",275,93,other,,1
1982,397,"Markkula, Armas Clifford Jr",276,91,,,1
1982,398,"Mandel, Jack N",277,75,,,1
1982,399,"Mandel, Joseph C",277,75,,,1
1982,400,"Mandel, Morton Leon",277,75,,,1
1983,1,"Getty, Gordon Peter",2,2200,,,1
1983,2,"Walton, Sam Moore",13,2150,,,1
1983,3,"Ludwig, Daniel Keith",1,2000,,,1
1983,4,"Packard, David",5,1850,,,1
1983,5,"Wang, An",111,1600,,,1
1983,6,"Hunt, Nelson Bunker",3,1400,,,0
1983,7,"Hunt, Caroline Rose",3,1300,,,1
1983,8,"Mitchell, George Phydias",42,1000,,,1
1983,9,"Perot, Henry Ross Sr",48,1000,,,1
1983,10,"Hill, Margaret Hunt",3,1000,,,1
1983,11,"Davis, Marvin Harold",4,1000,,,1
1983,12,"Anschutz, Philip Frederick",8,1000,,,1
1983,13,"Hunt, William Herbert",3,1000,,,0
1983,14,"Rockefeller, David Sr",6,1000,,,1
1983,15,"Mars, Forrest Edward Sr",9,1000,,,1
1983,16,"Hewlett, William Redington",14,950,,,1
1983,17,"Bechtel, Stephen Davison Sr",11,800,,,1
1983,18,"Helmsley, Harry Brakmann",12,800,,,1
1983,19,"Newhouse, Donald Edward",16,700,,,1
1983,20,"Newhouse, Samuel Irving Jr",16,700,,,1
1983,21,"Rockefeller, Laurance Spelman",6,650,,,1
1983,22,"Gaylord, Edward Lewis",27,600,,,1
1983,23,"Johnson, Samuel Curtis",34,600,,,1
1983,24,"Chambers, Anne Cox",29,600,,,1
1983,25,"Carlson, Curtis Leroy",33,600,,,1
1983,26,"Cooke, Jack Kent",23,600,,,1
1983,27,"Anthony, Barbara Cox",29,600,,,1
1983,28,"Cook, Jane Bancroft",127,600,,,1
1983,29,"Hwang, Kyupin Philip",278,575,,,1
1983,30,"Dorrance, John Thompson Jr",82,575,,,1
1983,31,"Wexner, Leslie Herbert",213,541,,,1
1983,32,"Shakarian, David B",63,530,,,1
1983,33,"Buffett, Warren Edward",66,520,,,1
1983,34,"Hillman, Henry Lea",32,500,,,1
1983,35,"Mellon, Paul",22,500,,,1
1983,36,"Caruth, William Walter Jr",15,500,,,1
1983,37,"DeBartolo, Edward John Sr",25,500,,,1
1983,38,"Rollins, Orville Wayne",76,500,,,1
1983,39,"Belfer, Arthur Bejer",74,500,,,1
1983,40,"Pritzker, Jay Arthur",47,500,,,1
1983,41,"Crow, Fred Trammell",26,500,,,1
1983,42,"Stern, Leonard Norman",28,500,,,1
1983,43,"Pritzker, Abraham Nicholas",47,500,,,1
1983,44,"Scaife, Richard Mellon",22,500,,,1
1983,45,"Pritzker, Robert Alan",47,500,,,1
1983,46,"Taubman, Adolph Alfred",19,500,,,1
1983,47,"Paulson, Allen Eugene",279,500,,,1
1983,48,"Bass, Edward Perry",7,500,,,1
1983,49,"Murdock, David Howard",43,500,,,1
1983,50,"Millard, William H",280,500,,,1
1983,51,"Bren, Donald Leroy",46,500,,,1
1983,52,"Hunt, Lamar",3,500,,,0
1983,53,"Simplot, John Richard",30,500,,,1
1983,54,"Bass, Robert Muse",7,500,,,1
1983,55,"Bass, Lee Marshall",7,500,,,1
1983,56,"Bass, Perry Richardson",7,500,,,1
1983,57,"Bass, Sid Richardson",7,500,,,1
1983,58,"Rockefeller, Winthrop Paul",6,500,,,1
1983,59,"LeFrak, Samuel Jayson",24,500,,,1
1983,60,"Brown, Jack Eugene",17,450,,,1
1983,61,"Gates, Charles Cassius Jr",36,450,,,1
1983,62,"Wagner, Cyril Jr",18,450,,,1
1983,63,"Petrie, Milton Jack",78,450,,,1
1983,64,"Milliken, Roger",38,450,,,1
1983,65,"Annenberg, Walter Hubert",10,450,,,1
1983,66,"Kroc, Raymond A",49,450,death,,1
1983,67,"Busch, August Anheuser Jr",54,400,,,1
1983,68,"May, Cordelia Scaife",22,400,,,1
1983,69,"Kerkorian, Kirk",168,400,,,1
1983,70,"Weinberg, Harry",115,400,,,1
1983,71,"Galvin, Robert William",160,400,,,1
1983,72,"Hall, Donald Joyce",95,400,,,1
1983,73,"Hunt, Haroldson Lafayette (Hassie) III",3,400,realigned,,1
1983,74,"Goldman, Sol",99,400,,,1
1983,75,"Deak, Nicholas Louis",281,400,,,0
1983,76,"McLean, Malcolm Purcell",39,400,,,1
1983,77,"Tisch, Laurence Alan",52,400,,,1
1983,78,"Anderson, Robert Orville",20,400,,,1
1983,79,"Cox, Edwin Lochridge Sr",35,400,,,1
1983,80,"Bronfman, Edgar Miles Sr",282,400,,,0
1983,81,"Tisch, Preston Robert",52,400,,,1
1983,82,"Fribourg, Michel",40,375,,,1
1983,83,"Koch, David Hamilton",61,375,,,1
1983,84,"Koch, Charles de Ganahl",61,375,,,1
1983,85,"Koch, Frederick Robinson",61,375,,,1
1983,86,"Hess, Leon",60,375,,,1
1983,87,"Koch, William Ingraham",61,375,,,1
1983,88,"Heinz, Henry John II",77,375,,,1
1983,89,"Marriott, John Willard Sr",114,373,realigned,,1
1983,90,"Crown, Henry",69,363,,,1
1983,91,"Crown, Lester",69,363,,,1
1983,92,"Turner, Robert Edward III",79,355,,,1
1983,93,"Murchison, Clint William Jr",62,350,,,1
1983,94,"Hobby, Oveta Culp",84,350,,,1
1983,95,"Louis, John Jeffrey Jr",34,350,,,1
1983,96,"Allbritton, Joe Lewis",73,350,,,0
1983,97,"Paulucci, Luigino Francesco",196,350,,,1
1983,98,"Krehbiel, John Hammond Sr",283,343,,,1
1983,99,"Taper, Sydney Mark",200,325,,,1
1983,100,"Hilton, William Barron",189,325,,,0
1983,101,"Moore, Gordon Earle",178,315,,,1
1983,102,"Dixon, Suzanne Searle",101,310,,,1
1983,103,"Searle, Daniel Crow",101,310,,,1
1983,104,"Searle, William Louis",101,310,,,1
1983,105,"Nielsen, Arthur Charles Jr",80,300,,,1
1983,106,"MacElree, Jane Cox",29,300,,,0
1983,107,"Van Andel, Jay",57,300,,,1
1983,108,"Hunt, Ray Lee",3,300,,,1
1983,109,"Shorenstein, Walter Herbert",75,300,,,1
1983,110,"Gallo, Ernest",142,300,,,1
1983,111,"Parker, Jack",105,300,,,1
1983,112,"Beal, Carlton",41,300,,,1
1983,113,"Reed, William Garrard Sr",121,300,realigned,,1
1983,114,"Alkek, Albert B",44,300,,,0
1983,115,"Milliken, Gerrish Hill",38,300,,,1
1983,116,"Stephens, Jackson Thomas",284,300,,,1
1983,117,"Bernhard, Arnold",266,300,,,1
1983,118,"Cox, John Lee",45,300,,,0
1983,119,"Stephens, Wilton Robert",284,300,,,1
1983,120,"Lupton, John Thomas",51,300,,,1
1983,121,"Kluge, John Werner",163,300,,,1
